date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1928-12-01 04:06:00,Chile,-35.086,-71.683,35.0,7.7,tsunami,0,0,225,0,0,1928,12,1,04:06:00
1928-12-19 11:37:00,Philippines,6.977,124.856,35.0,7.3,tsunami,0,0,93,0,0,1928,12,19,11:37:00
1929-01-17 11:45:00,Venezuela,9.499,-64.381,35.0,6.9,tsunami,0,0,0,0,0,1929,1,17,11:45:00
1929-05-01 15:37:00,Turkmenistan,37.957,57.69300000000001,25.0,7.1,,0,0,3257,3300,0,1929,5,1,15:37:00
1929-05-18 06:37:00,Turkey,40.2,37.9,10.0,6.5,,0,0,64,0,0,1929,5,18,06:37:00
1929-05-30 09:43:00,Argentina,-34.768,-67.598,35.0,6.8,,0,0,52,0,0,1929,5,30,09:43:00
1929-06-16 22:47:00,New Zealand,-41.831,172.292,35.0,7.5,tsunami,0,0,17,0,0,1929,6,16,22:47:00
1929-07-13 07:36:00,Iran,37.5,58.0,57.0,5.8,,0,0,5,0,0,1929,7,13,07:36:00
1929-10-19 10:12:00,Chile,-23.038,-68.737,35.0,7.4,,0,0,0,0,0,1929,10,19,10:12:00
1929-11-18 20:32:00,Saint Pierre and Miquelon,44.539,-56.008,15.0,7.3,tsunami,0,0,52,0,0,1929,11,18,20:32:00
1930-05-05 13:45:00,Burma,17.665,96.543,35.0,7.2,"tsunami, fire",0,0,550,500,0,1930,5,5,13:45:00
1930-05-06 22:34:00,Iran,38.152,44.685,25.0,7.1,,0,0,2514,2500,0,1930,5,6,22:34:00
1930-05-14 19:48:00,China,26.8,103.0,,6.0,,0,0,42,0,0,1930,5,14,19:48:00
1930-07-23 00:08:00,Italy,41.05,15.367,,6.6,,0,0,0,0,1404,1930,7,23,00:08:00
1930-10-30 07:13:00,Italy,43.75,13.5,,6.0,,0,0,18,0,0,1930,10,30,07:13:00
1930-11-21 02:00:00,Albania,40.5,19.5,12.0,6.0,,0,0,35,0,0,1930,11,21,02:00:00
1930-11-25 19:02:00,Japan,34.977,139.10299999999998,35.0,6.9,,0,0,272,0,0,1930,11,25,19:02:00
1930-12-02 13:29:00,Albania,40.3,19.6,4.0,5.0,,0,0,25,0,0,1930,12,2,13:29:00
1930-12-03 18:51:00,Burma,17.972,96.422,35.0,7.3,,0,0,22,36,0,1930,12,3,18:51:00
1930-12-08 08:01:00,Taiwan,23.2,120.6,,6.3,,0,0,4,0,0,1930,12,8,08:01:00
1930-12-24 06:02:00,Argentina,-24.7,-66.3,30.0,6.0,,0,0,36,0,0,1930,12,24,06:02:00
1930-12-25 19:03:00,Japan,35.1,133.0,5.0,7.0,,0,0,272,0,0,1930,12,25,19:03:00
