state,county,year,pop_estimate
Tennessee,Loudon County,2015,50916
Tennessee,Loudon County,2016,51373
Tennessee,Loudon County,2017,52260
Tennessee,Loudon County,2018,53082
Tennessee,Loudon County,2019,54068
Tennessee,McMinn County,2010,52176
Tennessee,McMinn County,2011,52335
Tennessee,McMinn County,2012,52441
Tennessee,McMinn County,2013,52431
Tennessee,McMinn County,2014,52675
Tennessee,McMinn County,2015,52502
Tennessee,McMinn County,2016,52700
Tennessee,McMinn County,2017,52931
Tennessee,McMinn County,2018,53336
Tennessee,McMinn County,2019,53794
Tennessee,McNairy County,2010,26066
Tennessee,McNairy County,2011,26077
Tennessee,McNairy County,2012,26142
Tennessee,McNairy County,2013,26035
Tennessee,McNairy County,2014,26032
Tennessee,McNairy County,2015,25864
Tennessee,McNairy County,2016,25832
Tennessee,McNairy County,2017,26001
Tennessee,McNairy County,2018,25830
Tennessee,McNairy County,2019,25694
Tennessee,Macon County,2010,22237
Tennessee,Macon County,2011,22455
Tennessee,Macon County,2012,22488
Tennessee,Macon County,2013,22637
Tennessee,Macon County,2014,22919
Tennessee,Macon County,2015,23076
Tennessee,Macon County,2016,23340
Tennessee,Macon County,2017,23905
Tennessee,Macon County,2018,24289
Tennessee,Macon County,2019,24602
Tennessee,Madison County,2010,98249
Tennessee,Madison County,2011,98084
Tennessee,Madison County,2012,98505
Tennessee,Madison County,2013,98730
Tennessee,Madison County,2014,98134
Tennessee,Madison County,2015,97569
Tennessee,Madison County,2016,97478
Tennessee,Madison County,2017,97491
Tennessee,Madison County,2018,97603
Tennessee,Madison County,2019,97984
Tennessee,Marion County,2010,28220
Tennessee,Marion County,2011,28099
Tennessee,Marion County,2012,28226
Tennessee,Marion County,2013,28326
Tennessee,Marion County,2014,28405
Tennessee,Marion County,2015,28397
Tennessee,Marion County,2016,28383
Tennessee,Marion County,2017,28406
Tennessee,Marion County,2018,28598
Tennessee,Marion County,2019,28907
Tennessee,Marshall County,2010,30687
Tennessee,Marshall County,2011,30848
Tennessee,Marshall County,2012,30971
Tennessee,Marshall County,2013,31140
Tennessee,Marshall County,2014,31287
Tennessee,Marshall County,2015,31590
Tennessee,Marshall County,2016,32035
Tennessee,Marshall County,2017,33020
Tennessee,Marshall County,2018,33806
Tennessee,Marshall County,2019,34375
Tennessee,Maury County,2010,81172
Tennessee,Maury County,2011,81528
Tennessee,Maury County,2012,82054
Tennessee,Maury County,2013,83618
Tennessee,Maury County,2014,85384
Tennessee,Maury County,2015,87425
Tennessee,Maury County,2016,89556
Tennessee,Maury County,2017,92237
Tennessee,Maury County,2018,94273
Tennessee,Maury County,2019,96387
Tennessee,Meigs County,2010,11792
Tennessee,Meigs County,2011,11687
Tennessee,Meigs County,2012,11668
Tennessee,Meigs County,2013,11659
Tennessee,Meigs County,2014,11703
Tennessee,Meigs County,2015,11804
Tennessee,Meigs County,2016,11953
Tennessee,Meigs County,2017,12042
Tennessee,Meigs County,2018,12297
Tennessee,Meigs County,2019,12422
Tennessee,Monroe County,2010,44610
Tennessee,Monroe County,2011,44903
Tennessee,Monroe County,2012,45095
Tennessee,Monroe County,2013,45228
Tennessee,Monroe County,2014,45391
Tennessee,Monroe County,2015,45625
Tennessee,Monroe County,2016,45848
Tennessee,Monroe County,2017,46035
Tennessee,Monroe County,2018,46269
Tennessee,Monroe County,2019,46545
Tennessee,Montgomery County,2010,173159
Tennessee,Montgomery County,2011,176504
Tennessee,Montgomery County,2012,184782
Tennessee,Montgomery County,2013,184252
Tennessee,Montgomery County,2014,189005
Tennessee,Montgomery County,2015,192398
Tennessee,Montgomery County,2016,194424
Tennessee,Montgomery County,2017,199771
Tennessee,Montgomery County,2018,205312
Tennessee,Montgomery County,2019,208993
Tennessee,Moore County,2010,6330
Tennessee,Moore County,2011,6367
Tennessee,Moore County,2012,6289
Tennessee,Moore County,2013,6274
Tennessee,Moore County,2014,6285
Tennessee,Moore County,2015,6261
Tennessee,Moore County,2016,6293
Tennessee,Moore County,2017,6391
Tennessee,Moore County,2018,6457
Tennessee,Moore County,2019,6488
Tennessee,Morgan County,2010,22019
Tennessee,Morgan County,2011,21998
Tennessee,Morgan County,2012,21892
Tennessee,Morgan County,2013,21673
Tennessee,Morgan County,2014,21699
Tennessee,Morgan County,2015,21494
Tennessee,Morgan County,2016,21741
Tennessee,Morgan County,2017,21555
Tennessee,Morgan County,2018,21534
Tennessee,Morgan County,2019,21403
Tennessee,Obion County,2010,31822
Tennessee,Obion County,2011,31675
Tennessee,Obion County,2012,31310
Tennessee,Obion County,2013,31017
Tennessee,Obion County,2014,30828
Tennessee,Obion County,2015,30561
Tennessee,Obion County,2016,30547
Tennessee,Obion County,2017,30375
Tennessee,Obion County,2018,30274
Tennessee,Obion County,2019,30069
Tennessee,Overton County,2010,22092
Tennessee,Overton County,2011,22165
Tennessee,Overton County,2012,22164
Tennessee,Overton County,2013,21969
Tennessee,Overton County,2014,21951
Tennessee,Overton County,2015,22067
