city,state,county_name,latitude,longitude,population,density,source,zips
South Fulton,Tennessee,Obion,36.4931,-88.8835,2214.0,252.0,polygon,38257
Jellico,Tennessee,Campbell,36.5651,-84.1355,2165.0,134.0,polygon,37762 37847
Adamsville,Tennessee,McNairy,35.2563,-88.3862,2164.0,118.0,polygon,38310
Plainview,Tennessee,Union,36.1808,-83.7931,2156.0,131.0,polygon,37779 37721
Walden,Tennessee,Hamilton,35.1635,-85.3098,2156.0,235.0,polygon,37377
Hunter,Tennessee,Carter,36.3978,-82.1511,2153.0,129.0,polygon,37643
Caryville,Tennessee,Campbell,36.3252,-84.2198,2148.0,162.0,polygon,37766 37714 37847 37757
Ridgetop,Tennessee,Robertson,36.4045,-86.7681,2137.0,272.0,polygon,37072 37073 37152
Jamestown,Tennessee,Fentress,36.4319,-84.9341,2106.0,277.0,polygon,38556
Greenfield,Tennessee,Weakley,36.16,-88.8036,2086.0,231.0,polygon,38230
Pegram,Tennessee,Cheatham,36.1037,-87.0565,2068.0,110.0,polygon,37143
Unionville,Tennessee,Bedford,35.6118,-86.5739,2063.0,88.0,polygon,37160 37180
Jacksboro,Tennessee,Campbell,36.3352,-84.1928,2058.0,307.0,polygon,37757
Estill Springs,Tennessee,Franklin,35.2753,-86.1395,2034.0,177.0,polygon,37330
Piperton,Tennessee,Fayette,35.0512,-89.6091,1986.0,28.0,polygon,38017
Lookout Mountain,Tennessee,Hamilton,34.9944,-85.3516,1889.0,543.0,polygon,37350
Rural Hill,Tennessee,Wilson,36.1164,-86.5152,1888.0,179.0,polygon,37076 37122
Hopewell,Tennessee,Bradley,35.2387,-84.9139,1888.0,102.0,polygon,37312
New Johnsonville,Tennessee,Humphreys,36.0163,-87.9696,1874.0,140.0,polygon,37134
Lakesite,Tennessee,Hamilton,35.2027,-85.1413,1864.0,413.0,polygon,37343 37379
Blaine,Tennessee,Grainger,36.1478,-83.694,1860.0,75.0,polygon,37709
Spring City,Tennessee,Rhea,35.6884,-84.8626,1851.0,267.0,polygon,37381
Cross Plains,Tennessee,Robertson,36.5412,-86.6766,1827.0,81.0,polygon,37049
Loretto,Tennessee,Lawrence,35.0794,-87.4402,1771.0,183.0,polygon,38469
Surgoinsville,Tennessee,Hawkins,36.4745,-82.8594,1760.0,118.0,polygon,37857 37873
Pikeville,Tennessee,Bledsoe,35.6027,-85.1984,1741.0,275.0,polygon,37367
Gruetli-Laager,Tennessee,Grundy,35.3725,-85.6375,1738.0,52.0,polygon,37339
McEwen,Tennessee,Humphreys,36.1099,-87.6355,1731.0,362.0,polygon,37101
Whitwell,Tennessee,Marion,35.1918,-85.5212,1730.0,190.0,polygon,37397
Mowbray Mountain,Tennessee,Hamilton,35.2751,-85.2225,1699.0,32.0,polygon,37379
Spencer,Tennessee,Van Buren,35.7393,-85.456,1691.0,99.0,polygon,38585
Three Way,Tennessee,Madison,35.772,-88.8572,1688.0,145.0,polygon,38343
East Cleveland,Tennessee,Bradley,35.1525,-84.8541,1682.0,519.0,polygon,37311
Bluff City,Tennessee,Sullivan,36.4589,-82.2769,1670.0,369.0,polygon,37618 37686
Decatur,Tennessee,Meigs,35.5291,-84.7933,1667.0,169.0,polygon,37322
Cowan,Tennessee,Franklin,35.1629,-86.0142,1658.0,308.0,polygon,37318
Olivet,Tennessee,Hardin,35.2048,-88.1939,1652.0,106.0,polygon,38372
Charlotte,Tennessee,Dickson,36.1861,-87.3389,1634.0,155.0,polygon,37036
Ridgely,Tennessee,Lake,36.2607,-89.4808,1623.0,380.0,polygon,38080
Graysville,Tennessee,Rhea,35.4493,-85.0763,1580.0,517.0,polygon,37338 37321
Vonore,Tennessee,Monroe,35.5977,-84.2365,1552.0,68.0,polygon,37885 37801
Gray,Tennessee,Washington,36.4219,-82.4767,1552.0,401.0,polygon,37615
Fall Branch,Tennessee,Washington,36.4161,-82.6242,1547.0,132.0,polygon,37656
Dover,Tennessee,Stewart,36.4818,-87.8438,1546.0,156.0,polygon,37058
Chapel Hill,Tennessee,Marshall,35.6294,-86.6955,1538.0,187.0,polygon,37034
Englewood,Tennessee,McMinn,35.4228,-84.4883,1534.0,310.0,polygon,37329
Mason,Tennessee,Tipton,35.4128,-89.5412,1531.0,298.0,polygon,38049
Baxter,Tennessee,Putnam,36.1537,-85.6349,1531.0,188.0,polygon,38544
Watertown,Tennessee,Wilson,36.101,-86.1403,1523.0,442.0,polygon,37184
Burns,Tennessee,Dickson,36.0507,-87.2983,1456.0,165.0,polygon,37029 37055
Banner Hill,Tennessee,Unicoi,36.1222,-82.4203,1455.0,402.0,polygon,37650
Crump,Tennessee,Hardin,35.2315,-88.3381,1454.0,44.0,polygon,38310 38327
Kimball,Tennessee,Marion,35.0469,-85.674,1449.0,105.0,polygon,37347 37380
Midtown,Tennessee,Roane,35.8813,-84.5716,1437.0,123.0,polygon,37748
Celina,Tennessee,Clay,36.5469,-85.5043,1420.0,297.0,polygon,38551
South Carthage,Tennessee,Smith,36.2414,-85.9575,1398.0,210.0,polygon,37030
Tracy City,Tennessee,Grundy,35.262,-85.7515,1397.0,115.0,polygon,37387
Bruceton,Tennessee,Carroll,36.0349,-88.2466,1395.0,320.0,polygon,38317
New Union,Tennessee,Coffee,35.534,-86.0832,1389.0,139.0,polygon,37355
Gleason,Tennessee,Weakley,36.2174,-88.6107,1376.0,236.0,polygon,38229
New Market,Tennessee,Jefferson,36.1096,-83.5493,1375.0,125.0,polygon,37820
Powells Crossroads,Tennessee,Marion,35.1848,-85.4848,1359.0,107.0,polygon,37397
Rutledge,Tennessee,Grainger,36.2757,-83.5311,1355.0,94.0,polygon,37861
Sneedville,Tennessee,Hancock,36.5366,-83.2099,1349.0,226.0,polygon,37869
Rockvale,Tennessee,Rutherford,35.7668,-86.521,1340.0,118.0,polygon,37153 37128
Tennessee Ridge,Tennessee,Houston,36.3194,-87.7632,1332.0,137.0,polygon,37061 37178
Troy,Tennessee,Obion,36.3419,-89.1583,1321.0,377.0,polygon,38260
Falling Water,Tennessee,Hamilton,35.1962,-85.2604,1309.0,94.0,polygon,37415 37343
Cornersville,Tennessee,Marshall,35.3628,-86.8583,1291.0,87.0,polygon,37047
Erin,Tennessee,Houston,36.3159,-87.7026,1280.0,126.0,polygon,37061
Benton,Tennessee,Polk,35.1749,-84.6516,1278.0,162.0,polygon,37307
Fincastle,Tennessee,Campbell,36.4038,-84.048,1276.0,134.0,polygon,37766
Roan Mountain,Tennessee,Carter,36.1866,-82.0705,1276.0,74.0,polygon,37687
Huntsville,Tennessee,Scott,36.4112,-84.5053,1269.0,121.0,polygon,37756 37755
Dodson Branch,Tennessee,Jackson,36.3148,-85.5322,1260.0,43.0,polygon,38501
Gordonsville,Tennessee,Smith,36.1817,-85.9324,1245.0,67.0,polygon,38563
Monteagle,Tennessee,Marion,35.2367,-85.8513,1234.0,50.0,polygon,37375 37356
Bon Aqua Junction,Tennessee,Hickman,35.9281,-87.3124,1229.0,100.0,polygon,37098
Ardmore,Tennessee,Giles,35.0031,-86.8547,1221.0,100.0,polygon,38449
Greenback,Tennessee,Loudon,35.6487,-84.1724,1219.0,56.0,polygon,37742
Grimsley,Tennessee,Fentress,36.2761,-84.997,1219.0,43.0,polygon,38565 38556
Kenton,Tennessee,Obion,36.2021,-89.0155,1195.0,236.0,polygon,38233
Lyles,Tennessee,Hickman,35.9195,-87.345,1173.0,172.0,polygon,37098
Telford,Tennessee,Washington,36.2534,-82.5478,1161.0,181.0,polygon,37690
Riceville,Tennessee,McMinn,35.3895,-84.699,1140.0,202.0,polygon,37370
Red Boiling Springs,Tennessee,Macon,36.5301,-85.8481,1132.0,249.0,polygon,37150
Lone Oak,Tennessee,Sequatchie,35.2007,-85.3685,1125.0,67.0,polygon,37377
Luttrell,Tennessee,Union,36.2097,-83.7478,1080.0,108.0,polygon,37779
