city,latitude,longitude,country,population
Shaping,29.230815999999997,103.26586800000001,China,
Micheng,25.32037,100.499313,China,
Luhua,32.067084,102.987858,China,
Zhaodong,46.067714,125.98263100000001,China,
Xunchang,28.454332,104.714984,China,
Sanjiang,24.720628,112.294422,China,
Sanjiang,26.6749,109.196,China,
Mandalt,43.840278000000005,113.715556,China,
Xangda,32.205511,96.478087,China,
Xamba,40.884722,107.14,China,
Gyamotang,31.533333000000002,95.43333299999999,China,
Guancheng,36.480313,115.435097,China,
Yingcheng,24.165876,113.412675,China,
Jinling,34.369253,107.149975,China,
Dayou,46.636158,126.987527,China,
Matou,23.355338,107.556401,China,
Pudong,31.235134000000002,121.527592,China,
Yutian,39.878611,117.739167,China,
Zhushan,29.994524,109.479075,China,
Changtu,42.778842,124.095447,China,
Yitong,43.326282,125.29726299999999,China,
Yitiaoshan,37.1533,104.06200000000001,China,
Huagai,31.546335,104.555319,China,
Rende,25.558204999999997,103.276037,China,
Rulong,30.941159000000003,100.310872,China,
Baokang Chengguanzhen,31.878056,111.25638899999998,China,
Baokang,44.119721999999996,123.304722,China,
Hecheng,28.139388,120.287985,China,
Haimen,31.896189,121.172735,China,
Baiquan,42.885382,124.95827,China,
Mengsuo,22.601988000000002,99.551373,China,
Kangmar,28.559534000000003,89.680088,China,
Weifen,38.480639000000004,111.16663700000001,China,
Suohe,34.787222,113.358056,China,
Songling,31.193303000000004,120.717577,China,
Kaiping,39.677985,118.252175,China,
Chengxian Chengguanzhen,33.741111,105.720556,China,
Changzhou,31.773584999999997,119.954007,China,
Xinfa,28.830708,104.320768,China,
Tangyang Chengguanzhen,35.914459,114.35513999999999,China,
Fengming,34.441389,107.617778,China,
Guidong Chengguanzhen,26.079034,113.94061599999999,China,
Yunmeng Chengguanzhen,31.062508,113.765447,China,
Lianyuan,27.688333,111.66416699999999,China,
Hongwansi,38.835135,99.598649,China,
Xiritala,43.938889,116.070209,China,
Luxi,27.636184000000004,114.03528600000001,China,
Mugala,36.857601,81.668437,China,
Hongqi,47.317996,130.267902,China,
Guangming,47.33972,130.286792,China,
Dongshan,47.342772,130.312222,China,
Gounan,47.35941,130.297473,China,
Weitang,30.850208000000002,120.911377,China,
Fuding,27.327338,120.213995,China,
Dedang,24.011797,99.239645,China,
Huaihelu,34.716383,113.641383,China,
Taocheng,22.879355,107.156478,China,
Dangcheng,34.427868,116.37656899999999,China,
Gushu,31.56055,118.481466,China,
Nixia,32.975025,98.09589,China,
Xibu,23.699059,117.42510700000001,China,
Jiang’an,28.733351000000003,105.068298,China,
Helixi,30.628408,118.98123999999999,China,
Xihu,36.067345,103.77654100000001,China,
Zhangyelu,36.057516,103.822687,China,
Anning Xilu,36.1035,103.719285,China,
Changshun,41.891389000000004,113.992222,China,
Yuhu,26.10679,99.98292,China,
Tianxingchang,27.842292999999998,103.982423,China,
Suixi,33.890673,116.774725,China,
Suicheng,21.379507999999998,110.250523,China,
Sui Xian Chengguanzhen,34.447966,115.044394,China,
Lubei,28.586331,121.36998100000001,China,
Qianyou,33.6775,109.123333,China,
Fufeng,34.360504999999996,107.873484,China,
Ziyang Chengguanzhen,32.51917,108.532321,China,
Shazhou,40.13799,94.66227099999999,China,
Anju,30.349556,105.455937,China,
Lianzhou,21.666214,109.20116000000002,China,
Lianzhou,24.781857000000002,112.371196,China,
Chuimatan,35.7181,102.87406700000001,China,
Bailingmiao,41.691944,110.435556,China,
Minjian,28.846216,103.545754,China,
Runing,33.001111,114.35416699999999,China,
Rulin,26.347040000000003,110.266268,China,
Yuanjiazhuang,33.523194000000004,107.98300400000001,China,
Nahaping,28.431773,103.857825,China,
Yucheng,29.985205999999998,102.999004,China,
Guma,37.616805,78.28087,China,
Pitong,30.809929999999998,103.882532,China,
Seke,32.270389,100.331691,China,
Zhangbei,41.1525,114.707778,China,
Bianjiang,49.5578,128.47306799999998,China,
Shouchun,32.581619,116.792915,China,
Damxung,30.533333000000002,91.1,China,
Luofeng,37.364974,120.40996899999999,China,
Huangshan,29.715258000000002,118.32303200000001,China,
Loufan,38.091796,111.807208,China,
Licheng,23.295488,113.824648,China,
Barkol,43.598813,93.008625,China,
Dianjun,30.701545,111.25990800000001,China,
Altan Emel,48.666667,116.83333300000001,China,
Yangchang,26.074487,104.34077099999999,China,
Yongdeng Chengguanzhen,36.733609,103.259311,China,
Yilong,23.691374,102.487014,China,
Huidong,26.637446,102.575676,China,
Dong Liang’erzhuang,36.727111,115.25568500000001,China,
Kuangyuan,24.913791,103.147888,China,
Linxi,36.862721,115.492476,China,
Xiaodian,37.736389,112.556389,China,
Hongkou,31.25,121.489167,China,
Toksun,42.793589000000004,88.64163,China,
Zhabu,33.1189,83.3038,China,
Fengxiang,47.575487,130.82306200000002,China,
Fuyu,30.15,116.11666699999999,China,
Longxu,23.416667,111.233333,China,
Dongcheng,28.893807000000002,120.04024299999999,China,
Dianweijie,25.9075,102.854444,China,
Wuxue,29.850578000000002,115.552504,China,
Wuxuan,23.624654999999997,109.652005,China,
Dawu,34.466234,100.229935,China,
Ruoqiang,39.020027,88.16465500000001,China,
Gulaobei,30.519413,111.426644,China,
Heping,28.5579,108.49,China,
Hepingyizu,29.246932,103.082491,China,
Yujin,29.209088,103.945559,China,
Xiaojiang,22.272958,109.55184299999999,China,
Dafeng,23.43422,108.598252,China,
Molo,30.860043,98.272972,China,
